iter	RMSE
0	5.362502663
1	5.169868257
2	4.998078076
3	4.846386211
4	4.69914716
5	4.5678713
6	4.453797695
7	4.355644058
8	4.252434794
9	4.163675659
10	4.079743371
11	4.006299868
12	3.941350174
13	3.878625526
14	3.821571727
15	3.772450048
16	3.72428433
17	3.679153521
18	3.636797979
19	3.599737311
20	3.564710186
21	3.530414654
22	3.500206694
23	3.469907313
24	3.444328729
25	3.418200478
26	3.396292777
27	3.374129385
28	3.354646226
29	3.335625504
30	3.320187671
31	3.303119101
32	3.288224919
33	3.274728118
34	3.261320917
35	3.249609524
36	3.238038751
37	3.226423878
38	3.216389923
39	3.207415126
40	3.198330808
41	3.190059079
42	3.182047471
43	3.174528253
44	3.167941582
45	3.162032186
46	3.155124256
47	3.149075319
48	3.142673909
49	3.137791589
50	3.1328676
51	3.128186202
52	3.123116618
53	3.118053175
54	3.114526636
55	3.11087001
56	3.106695352
57	3.100005351
58	3.091778874
59	3.086431704
60	3.078448675
61	3.073719895
62	3.069477796
63	3.065332412
64	3.061381841
65	3.057100837
66	3.054121501
67	3.050560634
68	3.046626197
69	3.043814333
70	3.038437388
71	3.034845635
72	3.032376295
73	3.025827729
74	3.021807574
75	3.019333829
76	3.015181153
77	3.012387716
78	3.00935574
79	3.003236239
80	2.999520002
81	2.996931471
82	2.991261863
83	2.98820874
84	2.984362052
85	2.982016995
86	2.977891612
87	2.975509321
88	2.973414622
89	2.970314172
90	2.968200366
91	2.965513082
92	2.961674317
93	2.959407134
94	2.955778559
95	2.953022244
96	2.949812594
97	2.947721101
98	2.946465439
99	2.942158873
100	2.93879191
101	2.937409744
102	2.935605382
103	2.931634907
104	2.928750064
105	2.925913573
106	2.92352742
107	2.921235168
108	2.918434518
109	2.916540798
110	2.914958438
111	2.912974977
112	2.911653633
113	2.910574659
114	2.908569105
115	2.905999461
116	2.904242675
117	2.900841274
118	2.899637798
119	2.897059309
120	2.895600156
121	2.894232326
122	2.892854639
123	2.889519566
124	2.888325096
125	2.885942394
126	2.882687188
127	2.879648069
128	2.876594112
129	2.874337001
130	2.871522013
131	2.868485355
132	2.865501692
133	2.862571976
134	2.86020143
135	2.858472949
136	2.855678992
137	2.853121057
138	2.850355383
139	2.847742146
140	2.845761454
141	2.843098823
142	2.841400223
143	2.838812962
144	2.83728997
145	2.834904854
146	2.832436802
147	2.829995544
148	2.82870458
149	2.82639813
150	2.824149815
151	2.821867617
152	2.819707188
153	2.817504086
154	2.815766266
155	2.813723308
156	2.812390353
157	2.810269997
158	2.808204456
159	2.806891755
160	2.804948835
161	2.802980115
162	2.801093082
163	2.799242903
164	2.797306845
165	2.795424149
166	2.793911588
167	2.792530658
168	2.791631706
169	2.789923955
170	2.788124846
171	2.786380077
172	2.784735686
173	2.782989908
174	2.781920314
175	2.780369492
176	2.778695237
177	2.777165875
178	2.775564361
179	2.774058821
180	2.772592712
181	2.771352391
182	2.769933157
183	2.768542159
184	2.767237696
185	2.765814981
186	2.764383775
187	2.762955005
188	2.761602562
189	2.76054291
190	2.759099718
191	2.757722632
192	2.75687434
193	2.755867251
194	2.754583846
195	2.753374297
196	2.752052948
197	2.750843785
198	2.750195442
199	2.749015295
200	2.747779943
201	2.746637977
202	2.745447566
203	2.744310035
204	2.743420083
205	2.742526121
206	2.74142076
207	2.740354647
208	2.739667363
209	2.738604695
210	2.73730455
211	2.736244646
212	2.734865402
213	2.733850193
214	2.732836418
215	2.732048848
216	2.731127056
217	2.730180181
218	2.729136113
219	2.728218355
220	2.727476196
221	2.72643263
222	2.725471575
223	2.724520271
224	2.723695686
225	2.722799427
226	2.722005871
227	2.72092234
228	2.720350345
229	2.719162433
230	2.71830748
231	2.717249038
232	2.716572325
233	2.715327413
234	2.714281462
235	2.713502936
236	2.712633316
237	2.71175247
238	2.710903285
239	2.709951815
240	2.709130889
241	2.708339823
242	2.707583648
243	2.706225951
244	2.705407435
245	2.704311001
246	2.703342944
247	2.702816483
248	2.702029071
249	2.70107963
250	2.700283686
251	2.699434552
252	2.69851555
253	2.697923925
254	2.697137484
255	2.696470262
256	2.695570415
257	2.694844807
258	2.6937986
259	2.693099725
260	2.692211476
261	2.691502976
262	2.690678159
263	2.689968955
264	2.68908471
265	2.688319342
266	2.687528885
267	2.686852323
268	2.685900659
269	2.685107806
270	2.684372292
271	2.683800462
272	2.683119526
273	2.682420769
274	2.681734923
275	2.681268011
276	2.680576509
277	2.680268924
278	2.679634556
279	2.678997264
280	2.678030537
281	2.677367947
282	2.676847139
283	2.676258045
284	2.675725567
285	2.675092731
286	2.67447124
287	2.673797267
288	2.673026231
289	2.672498247
290	2.671871586
291	2.671150784
292	2.670297749
293	2.669521514
294	2.669169112
295	2.668258739
296	2.667731166
297	2.667048066
298	2.666485479
299	2.665659656
300	2.664950214
301	2.664400394
302	2.66375573
303	2.663043369
304	2.662570911
305	2.662006228
306	2.661204139
307	2.660952648
308	2.66030421
309	2.659685901
310	2.65910797
311	2.658513104
312	2.6579825
313	2.657410505
314	2.656469885
315	2.655563984
316	2.654829314
317	2.654140582
318	2.653206451
319	2.652479445
320	2.652226213
321	2.651341234
322	2.650622157
323	2.650217413
324	2.649685231
325	2.648903667
326	2.648347364
327	2.647760476
328	2.647127326
329	2.646605082
330	2.64588284
331	2.645265199
332	2.644444128
333	2.643648346
334	2.643050875
335	2.642148805
336	2.641434398
337	2.640929121
338	2.64038501
339	2.63976573
340	2.639274884
341	2.63863674
342	2.637791615
343	2.637110071
344	2.636412378
345	2.635752618
346	2.635297814
347	2.634777635
348	2.634220249
349	2.633578247
350	2.633049904
351	2.63265419
352	2.632026776
353	2.63105549
354	2.630387371
355	2.629799164
356	2.629268752
357	2.628587922
358	2.628052039
359	2.627465206
360	2.627056502
361	2.626421429
362	2.62597283
363	2.625551007
364	2.624882655
365	2.624474976
366	2.623895564
367	2.623157964
368	2.622833934
369	2.622189077
370	2.621776935
371	2.621211851
372	2.620594927
373	2.6202586
374	2.619592711
375	2.618861174
376	2.618305034
377	2.617780827
378	2.617110938
379	2.616518241
380	2.615985144
381	2.615240434
382	2.614347577
383	2.613701519
384	2.613105845
385	2.612581772
386	2.611934637
387	2.61154744
388	2.610934045
389	2.610420799
390	2.609863051
391	2.609396294
392	2.608925047
393	2.608506076
394	2.608053718
395	2.607649063
396	2.606907159
397	2.606263353
398	2.605750005
399	2.605242382
400	2.604683246
401	2.604146712
402	2.603590436
403	2.603077005
404	2.602554688
405	2.601985382
406	2.60151764
407	2.600982674
408	2.600362737
409	2.599814947
410	2.599334945
411	2.59866235
412	2.598275606
413	2.597625974
414	2.597134876
415	2.596341974
416	2.595852854
417	2.5953562
418	2.594655342
419	2.593958417
420	2.593496022
421	2.592974052
422	2.592451764
423	2.591943555
424	2.591380315
425	2.590926128
426	2.590476923
427	2.590081628
428	2.58948003
429	2.589042361
430	2.588822371
431	2.58807472
432	2.587488746
433	2.587091434
434	2.586551153
435	2.585940287
436	2.585596798
437	2.585122489
438	2.584438077
