iter	Passed	Remaining
0	12	12219
1	23	11845
2	35	11963
3	47	11821
4	59	11744
5	70	11640
6	81	11600
7	93	11576
8	105	11571
9	117	11614
10	128	11553
11	140	11535
12	151	11494
13	162	11455
14	173	11419
15	185	11393
16	195	11310
17	207	11297
18	218	11259
19	229	11233
20	240	11205
21	250	11152
22	262	11147
23	273	11118
24	283	11069
25	294	11039
26	305	10993
27	315	10956
28	326	10948
29	338	10948
30	350	10958
31	360	10916
32	372	10907
33	382	10879
34	394	10864
35	404	10841
36	415	10823
37	427	10821
38	441	10883
39	455	10943
40	470	10996
41	482	11014
42	493	10982
43	504	10971
44	515	10949
45	526	10925
46	537	10895
47	548	10878
48	558	10841
49	570	10831
50	580	10794
51	590	10770
52	601	10755
53	614	10761
54	625	10753
55	637	10742
56	648	10725
57	659	10705
58	669	10683
59	680	10659
60	691	10642
61	703	10641
62	714	10621
63	725	10604
64	735	10585
65	746	10568
66	758	10560
67	769	10540
68	779	10521
69	791	10512
70	802	10496
71	813	10491
72	824	10466
73	834	10448
74	846	10444
75	860	10461
76	873	10464
77	886	10474
78	897	10461
79	910	10472
80	923	10479
81	935	10468
82	945	10448
83	956	10429
84	967	10409
85	978	10400
86	989	10386
87	1000	10371
88	1011	10351
89	1022	10337
90	1033	10325
91	1045	10316
92	1056	10300
93	1066	10281
94	1077	10264
95	1088	10250
96	1100	10241
97	1111	10230
98	1121	10210
99	1132	10194
100	1143	10176
101	1153	10156
102	1164	10142
103	1175	10127
104	1186	10109
105	1196	10093
106	1207	10078
107	1218	10066
108	1229	10049
109	1239	10029
110	1250	10013
111	1260	9995
112	1272	9985
113	1282	9971
114	1294	9963
115	1305	9948
116	1315	9929
117	1326	9914
118	1337	9898
119	1348	9885
120	1358	9871
121	1369	9857
122	1381	9847
123	1391	9833
124	1402	9820
125	1413	9805
126	1424	9790
127	1435	9778
128	1446	9763
129	1456	9748
130	1467	9734
131	1478	9719
132	1488	9703
133	1499	9688
134	1510	9680
135	1522	9669
136	1532	9654
137	1543	9639
138	1553	9625
139	1564	9612
140	1575	9599
141	1586	9587
142	1597	9576
143	1608	9562
144	1620	9554
145	1631	9542
